job_names,job_group,level,salary,work_mode,domain_list,domain_group,skills_list,languages,tools,frameworks,libraries,programming_languages,others,company_names,city,post_date
Technical Account Manager,Manager / Lead,lead,Up to $3000,At office,['Financial Services'],['Finance'],"['Java', 'MySQL', 'Oracle']",,"['MySQL', 'Oracle']",,,['Java'],,ATOMI DIGITAL,Ha Noi,2025-11-25
Backend Developer,Backend Developer,fresher,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['.NET', 'Java', 'C#', 'English']",['English'],,['.NET'],,"['Java', 'C#']",,Netcompany,Ho Chi Minh,2025-11-25
Project Manager,Manager / Lead,lead,Unknown,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['Bridge Engineer', 'Japanese IT Communication', 'Java', 'C#', 'Japanese', 'Project Management']",['Japanese'],,,,"['Java', 'C#']","['Bridge Engineer', 'Japanese IT Communication', 'Project Management']",NEC Vietnam,Ho Chi Minh,2025-11-25
Backend Developer,Backend Developer,mid,Up to $1200,At office,['Financial Services'],['Finance'],"['Golang', 'Gin', 'Apache HttpClient', 'Git', 'AWS']",,"['Git', 'AWS']",['Gin'],['Apache HttpClient'],['Golang'],,Bankaool,Ho Chi Minh,2025-11-25
Frontend Developer,Frontend Developer,senior,Up to $3000,Hybrid,"['Real Estate, Property and Construction']",['Real Estate / Construction'],"['ReactJS', 'NextJS', 'CSS 3', 'HTML5', 'JavaScript', 'TypeScript']",,,"['ReactJS', 'NextJS']",,"['CSS 3', 'HTML5', 'JavaScript', 'TypeScript']",,ERA Realty Network,Ho Chi Minh,2025-11-25
Data Analyst,Data / AI,mid,Up to $1800,Hybrid,['E-commerce'],['Ecommerce & Retail'],"['Data Analysis', 'Metabase', 'Power BI', 'SQL']",,"['Metabase', 'Power BI']",,,['SQL'],['Data Analysis'],Droppii,Ho Chi Minh,2025-11-25
Fullstack Developer,Fullstack Developer,lead,Unknown,At office,"['Transportation, Logistics and Warehouse']",['Logistics'],"['TypeScript', 'Leadership', 'Java', 'NodeJS', 'JavaScript', 'Python']",,,,,"['TypeScript', 'Java', 'JavaScript', 'Python']","['Leadership', 'NodeJS']",HDS Services Vietnam,Ho Chi Minh,2025-11-25
Cloud Engineer,DevOps / Cloud,senior,Up to $2000,At office,"['Banking', 'Securities & Investment', 'Financial Services']",['Finance'],"['Cloud', 'Linux', 'System Admin', 'DevOps', 'Solution Architecture', 'AWS']",,['AWS'],,,,"['Cloud', 'Linux', 'System Admin', 'DevOps', 'Solution Architecture']",Techcom Securities,Ha Noi,2025-11-25
Frontend Developer,Frontend Developer,mid,Unknown,At office,"['E-commerce', 'Banking', 'IT Services and IT Consulting', 'Healthcare', 'AI Software & Services']","['IT & Software', 'Healthcare', 'Ecommerce & Retail', 'AI / Emerging Tech', 'Finance']","['VueJS', 'Cloud', 'AWS', 'Angular', 'AngularJS', 'English']",['English'],['AWS'],"['VueJS', 'Angular', 'AngularJS']",,,['Cloud'],Hitachi Digital Services,Ho Chi Minh,2025-11-25
Automation Tester,QA / Tester,lead,Unknown,Hybrid,"['IT Hardware and Computing', 'Software Products and Web Services']",['IT & Software'],"['Team Management', 'TestComplete', 'Robot Framework', 'Leadership', 'Automation Test', 'Android']",,"['TestComplete', 'Robot Framework']",,,,"['Team Management', 'Leadership', 'Automation Test', 'Android']",Datalogic Việt Nam,Ho Chi Minh,2025-11-25
Fullstack Developer,Fullstack Developer,senior,Up to $3500,At office,"['Software Products and Web Services', 'Financial Services', 'AI Software & Services']","['Finance', 'IT & Software', 'AI / Emerging Tech']","['Java', 'English', 'Spring', 'AWS', 'ReactJS', 'TypeScript']",['English'],['AWS'],"['Spring', 'ReactJS']",,"['Java', 'TypeScript']",,CoderPush,Ho Chi Minh,2025-11-25
Fullstack Developer,Fullstack Developer,senior,Up to $3000,Hybrid,['Software Products and Web Services'],['IT & Software'],"['.NET', 'VueJS', 'C#', 'Azure', 'Agile', 'English']",['English'],['Azure'],"['.NET', 'VueJS']",,['C#'],['Agile'],Facilitated Work Hub,Ho Chi Minh,2025-11-25
Automation Tester,QA / Tester,senior,Unknown,At office,['Telecommunication'],['Telecom'],"['Automation Test', 'Python', 'Java', 'Selenium', 'Playwright']",,['Playwright'],,['Selenium'],"['Python', 'Java']",['Automation Test'],Motorola Solutions,Ho Chi Minh,2025-11-25
DevOps Engineer,DevOps / Cloud,principal,Unknown,At office,['Telecommunication'],['Telecom'],"['DevOps', 'Ansible', 'Azure', 'CI/CD', 'Kubernetes']",,"['Azure', 'Kubernetes']",,,,"['DevOps', 'Ansible', 'CI/CD']",Motorola Solutions,Ho Chi Minh,2025-11-25
ERP Developer,ERP / Enterprise Systems,senior,Unknown,At office,"['IT Hardware and Computing', 'IT Services and IT Consulting', 'Software Products and Web Services', 'Professional Services', 'Financial Services']","['Finance', 'IT & Software', 'Professional / Services']","['SAP', 'ERP', 'Business Analysis', 'Project Management', 'Software Architecture', 'English']",['English'],['SAP'],,,,"['ERP', 'Business Analysis', 'Project Management', 'Software Architecture']",Deloitte Consulting Vietnam,Ho Chi Minh,2025-11-25
Firmware Engineer,Embedded / Firmware,Unknown,Unknown,At office,['Telecommunication'],['Telecom'],"['Embedded', 'Embedded C', 'Linux']",,,,,['Embedded C'],"['Embedded', 'Linux']",Motorola Solutions,Ho Chi Minh,2025-11-25
Product Owner,Manager / Lead,senior,Up to $2500,Hybrid,['E-commerce'],['Ecommerce & Retail'],"['Agile', 'Six sigma', 'Lean Project Management', 'Data Analysis']",,,,,,"['Agile', 'Six sigma', 'Lean Project Management', 'Data Analysis']",Droppii,Ho Chi Minh,2025-11-25
Fullstack Developer,Fullstack Developer,junior,Up to $2500,At office,"['IT Services and IT Consulting', 'Transportation, Logistics and Warehouse', 'Software Products and Web Services']","['IT & Software', 'Logistics']","['.NET', 'Japanese', 'JavaScript', 'C#']",['Japanese'],,['.NET'],,"['JavaScript', 'C#']",,Kobo Asia,Ho Chi Minh,2025-11-25
Automation Tester,QA / Tester,junior,Up to $1200,At office,['Banking'],['Finance'],"['Automation Test', 'Selenium', 'Java', 'SQL', 'Tester', 'QA QC']",,,,['Selenium'],"['Java', 'SQL']","['Automation Test', 'Tester', 'QA QC']",ATI JSC,Ha Noi,2025-11-25
